Symbol,Date,Open,High,Low,Close,Volume
AXU,15-Jul-2014,1.31,1.36,1.24,1.24,395500
AXU,16-Jul-2014,1.24,1.29,1.22,1.23,192600
AXU,17-Jul-2014,1.22,1.31,1.22,1.3,164200
AXU,18-Jul-2014,1.29,1.3,1.26,1.28,93000
AXU,21-Jul-2014,1.28,1.3,1.26,1.29,85900
AXU,22-Jul-2014,1.29,1.29,1.25,1.25,136700
AXU,23-Jul-2014,1.25,1.29,1.25,1.25,78200
AXU,24-Jul-2014,1.25,1.26,1.2,1.2,205200
AXU,25-Jul-2014,1.2,1.25,1.2,1.23,80600
AXU,28-Jul-2014,1.24,1.28,1.23,1.27,171800
AXU,29-Jul-2014,1.28,1.28,1.24,1.25,109400
AXU,30-Jul-2014,1.05,1.09,1.01,1.02,2222800
AXU,31-Jul-2014,1.02,1.04,1.01,1.02,819300
AXU,01-Aug-2014,1.04,1.04,1.01,1.03,360500
AXU,04-Aug-2014,1.04,1.05,1.02,1.03,383700
AXU,05-Aug-2014,1.03,1.04,0.95,0.98,587600
AXU,06-Aug-2014,1.02,1.03,1,1.02,332800
AXU,07-Aug-2014,1,1.05,0.98,0.98,343400
AXU,08-Aug-2014,1,1.01,0.96,0.97,421900
AXU,11-Aug-2014,0.99,1,0.96,0.99,366100
AXU,12-Aug-2014,0.99,1.01,0.97,0.99,344000
AXU,13-Aug-2014,0.99,1,0.97,0.97,230300
AXU,14-Aug-2014,0.98,0.99,0.96,0.96,286500
AXU,15-Aug-2014,0.96,1,0.96,0.99,203200
AXU,18-Aug-2014,0.98,1.07,0.97,1.02,525000
AXU,19-Aug-2014,1.03,1.04,1.01,1.03,381900
AXU,20-Aug-2014,1.04,1.04,1,1.01,165800
AXU,21-Aug-2014,1,1.02,1,1,158300
AXU,22-Aug-2014,1.01,1.01,0.99,0.99,137300
AXU,25-Aug-2014,0.99,0.99,0.97,0.97,324500
AXU,26-Aug-2014,0.99,0.99,0.97,0.98,88200
AXU,27-Aug-2014,0.97,0.99,0.97,0.97,126100
AXU,28-Aug-2014,0.98,0.99,0.97,0.98,149400
AXU,29-Aug-2014,0.98,1,0.98,0.99,252000
AXU,01-Sep-2014,0.99,0.99,0.99,0.99,0
AXU,02-Sep-2014,0.98,0.98,0.94,0.96,262100
AXU,03-Sep-2014,0.99,0.99,0.94,0.95,87700
AXU,04-Sep-2014,0.95,0.96,0.93,0.93,160900
AXU,05-Sep-2014,0.93,0.94,0.9,0.92,393100
AXU,08-Sep-2014,0.92,0.93,0.9,0.91,241300
AXU,09-Sep-2014,0.9,0.92,0.89,0.89,223100
AXU,10-Sep-2014,0.89,0.91,0.89,0.9,266600
AXU,11-Sep-2014,0.89,0.92,0.89,0.9,127800
AXU,12-Sep-2014,0.91,0.93,0.89,0.9,279100
AXU,15-Sep-2014,0.91,0.94,0.9,0.94,123300
AXU,16-Sep-2014,0.95,0.96,0.91,0.94,138200
AXU,17-Sep-2014,0.93,0.94,0.91,0.91,87200
AXU,18-Sep-2014,0.9,0.91,0.9,0.9,163900
AXU,19-Sep-2014,0.9,0.91,0.89,0.89,209300
AXU,22-Sep-2014,0.9,0.9,0.84,0.85,267400
AXU,23-Sep-2014,0.85,0.86,0.75,0.83,256700
AXU,24-Sep-2014,0.83,0.85,0.77,0.77,173200
AXU,25-Sep-2014,0.76,0.77,0.72,0.75,327400
AXU,26-Sep-2014,0.75,0.76,0.72,0.73,134600
AXU,29-Sep-2014,0.72,0.73,0.7,0.7,157700
AXU,30-Sep-2014,0.7,0.71,0.65,0.67,277900
AXU,01-Oct-2014,0.68,0.69,0.65,0.66,183200
AXU,02-Oct-2014,0.66,0.68,0.62,0.63,263600
AXU,03-Oct-2014,0.63,0.64,0.59,0.59,331300
AXU,06-Oct-2014,0.6,0.62,0.57,0.61,292600
AXU,07-Oct-2014,0.6,0.62,0.58,0.58,93600
AXU,08-Oct-2014,0.6,0.63,0.57,0.63,215400
AXU,09-Oct-2014,0.66,0.66,0.58,0.6,202100
AXU,10-Oct-2014,0.6,0.61,0.57,0.6,171800
AXU,13-Oct-2014,0.59,0.63,0.58,0.6,148700
AXU,14-Oct-2014,0.6,0.62,0.59,0.6,152300
AXU,15-Oct-2014,0.59,0.61,0.57,0.61,317500
AXU,16-Oct-2014,0.59,0.62,0.59,0.6,75400
AXU,17-Oct-2014,0.61,0.62,0.52,0.55,411500
AXU,20-Oct-2014,0.54,0.56,0.52,0.54,172900
AXU,21-Oct-2014,0.52,0.57,0.51,0.55,231200
AXU,22-Oct-2014,0.52,0.52,0.51,0.51,449300
AXU,23-Oct-2014,0.5,0.52,0.49,0.5,302900
AXU,24-Oct-2014,0.5,0.53,0.5,0.51,216700
AXU,27-Oct-2014,0.5,0.52,0.49,0.52,152900
AXU,28-Oct-2014,0.5,0.53,0.5,0.53,219200
AXU,29-Oct-2014,0.52,0.53,0.5,0.51,197000
AXU,30-Oct-2014,0.5,0.51,0.47,0.48,280600
AXU,31-Oct-2014,0.47,0.5,0.44,0.48,394400
AXU,03-Nov-2014,0.52,0.52,0.46,0.48,282800
